simulation,request_name,total,success,failed,error_rate,avg_ms,p50_ms,p90_ms,min_ms,max_ms
Browse And Write,"Script: BrowseAndWrite,Action: Create New Issue",57,57,0,0.00,172.51,151.00,264.60,108.00,368.00
Browse And Write,"Script: BrowseAndWrite,Action: List Issues",212,212,0,0.00,741.26,655.50,1071.90,398.00,1677.00
Search,"Script: Search,Action: Perform Search",184,184,0,0.00,5.55,4.00,7.00,2.00,45.00
View Issue,"Script: ViewIssue,Action: List Issues",492,492,0,0.00,651.78,552.00,1020.40,384.00,1809.00
