simulation,directory,start_ms,end_ms,start_utc,end_utc,duration_minutes
Browse And Write,uc01-createorupdate-20260821012016115,1787275217792,1787275814062,2026-08-21T01:20:17.792000+00:00,2026-08-21T01:30:14.062000+00:00,9.94
Search,uc02-performsearches-20260821012015511,1787275217574,1787275816983,2026-08-21T01:20:17.574000+00:00,2026-08-21T01:30:16.983000+00:00,9.99
View Issue,uc03-viewissue-20260821012016078,1787275217739,1787275817278,2026-08-21T01:20:17.739000+00:00,2026-08-21T01:30:17.278000+00:00,9.99
