simulation,request_name,total,success,failed,error_rate,avg_ms,p50_ms,p90_ms,min_ms,max_ms
Browse And Write,"Script: BrowseAndWrite,Action: Create New Issue",10,10,0,0.00,128.40,129.00,144.60,106.00,168.00
Browse And Write,"Script: BrowseAndWrite,Action: List Issues",24,24,0,0.00,60.50,49.50,83.60,13.00,250.00
Browse And Write,"Script: BrowseAndWrite,Action: Open Random Issue",14,14,0,0.00,6.79,6.00,7.00,4.00,21.00
Browse And Write,"Script: BrowseAndWrite,Action: Update Random Field",14,14,0,0.00,58.57,46.50,105.70,28.00,112.00
Search,"Script: Search,Action: Perform Search",20,20,0,0.00,5.70,4.00,10.30,3.00,23.00
View Issue,"Script: ViewIssue,Action: List Issues",48,48,0,0.00,72.23,57.50,143.00,9.00,289.00
View Issue,"Script: ViewIssue,Action: Open Random Issue",48,48,0,0.00,6.19,5.00,8.30,3.00,38.00
