simulation,directory,start_ms,end_ms,start_utc,end_utc,duration_minutes
Browse And Write,uc01-createorupdate-20260820221503703,1787264105037,1787264164705,2026-08-20T22:15:05.037000+00:00,2026-08-20T22:16:04.705000+00:00,0.99
Search,uc02-performsearches-20260820221503137,1787264104678,1787264160325,2026-08-20T22:15:04.678000+00:00,2026-08-20T22:16:00.325000+00:00,0.93
View Issue,uc03-viewissue-20260820221503562,1787264104907,1787264164077,2026-08-20T22:15:04.907000+00:00,2026-08-20T22:16:04.077000+00:00,0.99
