simulation,directory,start_ms,end_ms,start_utc,end_utc,duration_minutes
Browse And Write,uc01-createorupdate-20260821001404455,1787271246021,1787271839697,2026-08-21T00:14:06.021000+00:00,2026-08-21T00:23:59.697000+00:00,9.89
Search,uc02-performsearches-20260821001403943,1787271245924,1787271841536,2026-08-21T00:14:05.924000+00:00,2026-08-21T00:24:01.536000+00:00,9.93
View Issue,uc03-viewissue-20260821001404414,1787271245971,1787271845702,2026-08-21T00:14:05.971000+00:00,2026-08-21T00:24:05.702000+00:00,10.00
